fighter_id,first_name,last_name,nickname,age,birthplace,georgian_region,height_cm,weight_lbs,reach_inches,stance,ufc_debut_date,current_status,fighting_style,main_disciplines,team_gym,instagram_handle,image_url,total_mma_fights,wins,losses,draws,ko_tko_wins,submission_wins,decision_wins,created_at,updated_at
1,Ilia,Topuria,"El Matador",28,"Halle, Germany","Kvemo Kartli",170,155,69.0,Orthodox,2020-10-11,Active,Boxing,"Boxing, Wrestling, BJJ","Private Gym",@iliatopuria,https://www.ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/TOPURIA_ILIA_L_BELT_10-26.png?itok=63v_RyKk,17,17,0,0,7,8,2,"2025-08-12 19:48:31","2025-10-13 17:53:03"
2,Merab,Dvalishvili,"The Machine",34,"Tbilisi, Georgia",Imereti,168,135,68.0,Orthodox,2017-12-09,Active,Wrestling/Cardio,"Wrestling, Cardio, Striking","Serra-Longo Fight Team",@merabdvalishvili,https://www.ufc.com/images/styles/athlete_bio_full_body/s3/2025-06/DVALISHVILI_MERAB_L_BELT_06-07.png?itok=JlIVGmN1,26,21,5,0,3,2,16,"2025-08-12 19:48:31","2026-03-04 18:38:26"
3,Giga,Chikadze,Ninja,36,"Tbilisi, Georgia","Shida Kartli",183,147,74.0,Orthodox,2019-09-28,Active,Kickboxing,"Kickboxing, Muay Thai","Kings MMA",@knockoutcancer,https://www.ufc.com/images/styles/athlete_bio_full_body/s3/2025-04/CHIKADZE_GIGA_L_04-26.png?itok=vOubYPxP,21,15,6,0,9,1,5,"2025-08-12 19:48:31","2026-03-04 18:40:51"
4,Roman,Dolidze,"The Caucasian",37,"Batumi, Georgia",Adjara,191,185,76.0,Orthodox,2020-07-19,Active,Sambo/Wrestling,"Kickboxing, Wrestling, BJJ","Xtreme Couture MMA",@romandolidze,https://www.ufc.com/images/styles/athlete_bio_full_body/s3/2025-08/DOLIDZE_ROMAN_L_08-09.png?itok=wrIu4JjP,19,15,4,0,8,3,4,"2025-08-12 19:48:31","2025-08-18 15:08:24"
5,Aleksandre,Topuria,"El Conquistador",29,"Halle, Germany","Kvemo Kartli",170,135,69.0,Orthodox,2025-02-09,Active,Striker/Wrestling,"Kickboxing, BJJ","Private Gym",@aleksandre_topuria,https://www.ufc.com/images/styles/athlete_bio_full_body/s3/2025-02/TOPURIA_ALEKSANDRE_R_02-08.png?itok=XKH3G5XT,8,7,1,0,3,2,2,"2025-08-14 20:07:23","2026-03-04 18:32:03"
6,Levan,Makashvili,"The Hornet",36,"Gori, Georgia","Shida Kartli",173,145,68.5,Orthodox,2015-05-16,Retired,Striker/Wrestling,"Boxing, Wrestling",NULL,@levan_makashvili,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/3167314.png&w=350&h=254,19,16,2,1,6,1,9,"2025-08-14 20:16:55","2025-08-18 15:09:52"
7,Guram,Kutateladze,"Georgian Viking",33,Georgia,NULL,180,155,72.0,Orthodox,2020-10-18,Released,"Muay Thai","Muay Thai, Wrestling","Allstars Training Center",@guram_dze,https://www.ufc.com/images/styles/athlete_bio_full_body/s3/2025-03/KUTATELADZE_GURAM_L_03-22.png?itok=3z_y6jj8,18,13,5,0,7,1,5,"2025-08-14 20:32:29","2025-08-18 15:10:33"
8,Liana,Jojua,"She Wolf",30,Georgia,NULL,163,128,62.0,Orthodox,2019-09-07,Released,Grappling,"BJJ, Wrestling","Akhmat Fight Team",@likajojua,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/4295833.png&w=350&h=254,14,8,6,0,1,6,1,"2025-08-14 20:32:36","2025-08-18 15:13:34"
